episode,timestep,reward
20,2000,-170.2429
43,4000,-174.4138
62,6000,-175.4586
83,8000,-147.7044
102,10000,-114.8781
120,12000,-151.0736
138,14000,-95.8303
156,16000,-93.7541
171,18000,-65.7841
186,20000,-52.5807
201,22000,-49.8551
213,24000,-60.9657
224,26000,-49.7432
234,28000,-70.2277
239,30000,-42.9518
246,32000,-85.3062
252,34000,-65.3518
256,36000,48.7618
264,38000,-29.4095
266,40000,97.4398
269,42000,-24.7857
271,44000,116.8879
273,46000,-27.2442
277,48000,19.2446
279,50000,26.1718
281,52000,106.1623
284,54000,58.9764
286,56000,162.2654
289,58000,70.5744
291,60000,141.4896
294,62000,104.9539
297,64000,70.2489
301,66000,94.3962
303,68000,136.4198
305,70000,153.8484
307,72000,100.2918
309,74000,135.0211
311,76000,148.934
313,78000,143.3093
317,80000,86.9483
319,82000,160.7537
321,84000,147.1868
323,86000,154.2266
325,88000,144.4999
327,90000,164.8914
329,92000,148.9245
331,94000,153.8706
334,96000,100.3832
336,98000,156.9843
338,100000,148.7703
340,102000,154.4957
343,104000,137.159
346,106000,120.0929
352,108000,202.2305
357,110000,188.5272
362,112000,215.3252
366,114000,137.9577
372,116000,259.8608
376,118000,142.6282
382,120000,199.7913
387,122000,65.2031
393,124000,256.8427
399,126000,265.8292
405,128000,145.9935
412,130000,255.8139
418,132000,233.2991
424,134000,250.4414
431,136000,202.1732
437,138000,257.4853
444,140000,246.8157
452,142000,257.0547
459,144000,225.8138
462,146000,248.7188
470,148000,203.1494
478,150000,231.1516
485,152000,257.0887
493,154000,277.6126
501,156000,267.2682
509,158000,282.1504
517,160000,276.7189
523,162000,265.296
532,164000,267.7568
540,166000,273.4389
548,168000,273.0344
557,170000,272.7424
566,172000,242.761
575,174000,277.4984
584,176000,282.2303
589,178000,252.0909
595,180000,267.3849
602,182000,247.2624
610,184000,264.5646
615,186000,249.551
623,188000,272.9924
629,190000,246.0584
638,192000,275.7367
643,194000,263.5518
652,196000,255.7858
660,198000,242.2597
670,200000,270.1044
677,202000,277.1629
685,204000,215.1903
695,206000,246.3396
704,208000,276.6111
713,210000,275.1545
719,212000,282.1576
725,214000,228.552
734,216000,271.3025
744,218000,287.6604
752,220000,273.5459
757,222000,94.8136
767,224000,272.7003
777,226000,275.0735
786,228000,282.1654
794,230000,265.7174
804,232000,277.3216
809,234000,276.9084
817,236000,270.3701
826,238000,282.8653
834,240000,275.9942
838,242000,199.4732
848,244000,272.456
858,246000,284.7123
865,248000,272.2545
873,250000,260.04
881,252000,284.4253
888,254000,287.7599
897,256000,262.2127
903,258000,260.7874
913,260000,274.2513
923,262000,286.0936
934,264000,276.0773
939,266000,268.5872
947,268000,229.1203
957,270000,275.9643
968,272000,250.3283
976,274000,248.7302
984,276000,278.216
994,278000,282.8143
1004,280000,282.2214
1014,282000,289.5764
1024,284000,277.7093
1034,286000,273.9747
1038,288000,216.7881
1047,290000,275.8136
1053,292000,263.9679
1057,294000,250.6885
1064,296000,287.7489
1070,298000,263.3204
1076,300000,261.9229
1085,302000,254.8739
1089,304000,236.4171
1098,306000,208.0234
1108,308000,268.9648
1115,310000,254.4384
1124,312000,266.7796
1134,314000,245.9114
1143,316000,279.3109
1146,318000,126.0809
1148,320000,164.2982
1151,322000,103.2406
